value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR,Deciles,Geographical area
1.3822,26,8620,,Latin America (simple average),2008,Decile 1,National
38.70053,26,8620,,Latin America (simple average),2008,Decile 10,National
2.60918,26,8620,,Latin America (simple average),2008,Decile 2,National
3.582,26,8620,,Latin America (simple average),2008,Decile 3,National
4.57389,26,8620,,Latin America (simple average),2008,Decile 4,National
5.70869,26,8620,,Latin America (simple average),2008,Decile 5,National
7.06843,26,8620,,Latin America (simple average),2008,Decile 6,National
8.8363,26,8620,,Latin America (simple average),2008,Decile 7,National
11.42788,26,8620,,Latin America (simple average),2008,Decile 8,National
16.11089,26,8620,,Latin America (simple average),2008,Decile 9,National
1.59252,26,8620,,Latin America (simple average),2008,Decile 1,Rural
37.00702,26,8620,,Latin America (simple average),2008,Decile 10,Rural
2.88447,26,8620,,Latin America (simple average),2008,Decile 2,Rural
3.9017,26,8620,,Latin America (simple average),2008,Decile 3,Rural
4.9241,26,8620,,Latin America (simple average),2008,Decile 4,Rural
6.03926,26,8620,,Latin America (simple average),2008,Decile 5,Rural
7.37185,26,8620,,Latin America (simple average),2008,Decile 6,Rural
9.04566,26,8620,,Latin America (simple average),2008,Decile 7,Rural
11.57358,26,8620,,Latin America (simple average),2008,Decile 8,Rural
15.65986,26,8620,,Latin America (simple average),2008,Decile 9,Rural
1.71959,26,8620,,Latin America (simple average),2008,Decile 1,Urban
36.77862,26,8620,,Latin America (simple average),2008,Decile 10,Urban
3.01249,26,8620,,Latin America (simple average),2008,Decile 2,Urban
3.94049,26,8620,,Latin America (simple average),2008,Decile 3,Urban
4.8852,26,8620,,Latin America (simple average),2008,Decile 4,Urban
5.97218,26,8620,,Latin America (simple average),2008,Decile 5,Urban
7.25667,26,8620,,Latin America (simple average),2008,Decile 6,Urban
8.95291,26,8620,,Latin America (simple average),2008,Decile 7,Urban
11.43389,26,8620,,Latin America (simple average),2008,Decile 8,Urban
16.04797,26,8620,,Latin America (simple average),2008,Decile 9,Urban
1.45134,26,8620,,Latin America (simple average),2009,Decile 1,National
37.94868,26,8620,,Latin America (simple average),2009,Decile 10,National
2.6712,26,8620,,Latin America (simple average),2009,Decile 2,National
3.66778,26,8620,,Latin America (simple average),2009,Decile 3,National
4.67702,26,8620,,Latin America (simple average),2009,Decile 4,National
5.8203,26,8620,,Latin America (simple average),2009,Decile 5,National
7.23508,26,8620,,Latin America (simple average),2009,Decile 6,National
8.89178,26,8620,,Latin America (simple average),2009,Decile 7,National
11.51403,26,8620,,Latin America (simple average),2009,Decile 8,National
16.1228,26,8620,,Latin America (simple average),2009,Decile 9,National
1.71272,26,8620,,Latin America (simple average),2009,Decile 1,Rural
35.80573,26,8620,,Latin America (simple average),2009,Decile 10,Rural
3.01202,26,8620,,Latin America (simple average),2009,Decile 2,Rural
4.01277,26,8620,,Latin America (simple average),2009,Decile 3,Rural
