value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR
1.09,77,,NIC,Nicaragua,2004
2.27,77,,PAN,Panama,2004
1.09,77,,PRY,Paraguay,2004
2.27,77,,PER,Peru,2004
1.09,77,,KNA,Saint Kitts and Nevis,2004
2.27,77,,LCA,Saint Lucia,2004
1.09,77,,SUR,Suriname,2004
2.27,77,,TTO,Trinidad and Tobago,2004
1.09,77,,URY,Uruguay,2004
2.27,77,,VEN,Venezuela (Bolivarian Republic of),2004
1.1,77,,ARG,Argentina,2005
2.25,77,,BHS,Bahamas,2005
1.1,77,,BRB,Barbados,2005
2.25,77,,BLZ,Belize,2005
1.1,77,,BOL,Bolivia (Plurinational State of),2005
2.25,77,,BRA,Brazil,2005
1.1,77,,CHL,Chile,2005
2.25,77,,COL,Colombia,2005
1.1,77,,CRI,Costa Rica,2005
2.25,77,,CUB,Cuba,2005
1.1,77,,DOM,Dominican Republic,2005
2.25,77,,ECU,Ecuador,2005
1.1,77,,SLV,El Salvador,2005
2.25,77,,GUY,Guyana,2005
1.1,77,,HTI,Haiti,2005
2.25,77,,HND,Honduras,2005
1.1,77,,JAM,Jamaica,2005
2.25,77,,MEX,Mexico,2005
1.1,77,,NIC,Nicaragua,2005
2.25,77,,PAN,Panama,2005
1.1,77,,PRY,Paraguay,2005
2.25,77,,PER,Peru,2005
1.1,77,,KNA,Saint Kitts and Nevis,2005
2.25,77,,LCA,Saint Lucia,2005
1.1,77,,SUR,Suriname,2005
2.25,77,,TTO,Trinidad and Tobago,2005
1.1,77,,URY,Uruguay,2005
2.25,77,,VEN,Venezuela (Bolivarian Republic of),2005
1.14,77,,ARG,Argentina,2006
2.28,77,,BHS,Bahamas,2006
1.14,77,,BRB,Barbados,2006
2.28,77,,BLZ,Belize,2006
1.14,77,,BOL,Bolivia (Plurinational State of),2006
2.28,77,,BRA,Brazil,2006
1.14,77,,CHL,Chile,2006
2.28,77,,COL,Colombia,2006
1.14,77,,CRI,Costa Rica,2006
2.28,77,,CUB,Cuba,2006
1.14,77,,DOM,Dominican Republic,2006
2.28,77,,ECU,Ecuador,2006
1.14,77,,SLV,El Salvador,2006
2.28,77,,GUY,Guyana,2006
